mutation	n	n_pos	prevalence	bulkrna_sensitivity	bulkrna_specificity	bulkrna_f1	bulkrna_auroc	bulkrna_auprc	bulkrna_threshold	multimodal_sensitivity	multimodal_specificity	multimodal_f1	multimodal_auroc	multimodal_auprc	multimodal_threshold
TET2	357	20	0.056	0.55	0.6862	0.1594	0.6235	0.0765	0.6759	0.55	0.9881	0.6286	0.9473	0.5791	0.9233
del7	357	18	0.0504	0.2222	0.9767	0.2667	0.7732	0.226	0.9695	0.6667	0.9882	0.7059	0.9698	0.6917	0.9333
inv(16)_CBFB-MYH11	357	11	0.0308	0.8182	0.9571	0.5143	0.9668	0.3792	0.9363	1.0	0.9884	0.8462	0.9971	0.9271	0.9612
KIT	357	12	0.0336	0.5833	0.6934	0.1111	0.6258	0.0541	0.687	0.5	0.9681	0.4138	0.9191	0.3464	0.9043
DNMT3A	357	23	0.0644	0.8261	0.355	0.1462	0.5354	0.0807	0.3463	0.5217	0.9281	0.4068	0.8317	0.2592	0.7924
IDH1	357	12	0.0336	0.6667	0.6705	0.1185	0.6225	0.053	0.662	0.25	0.9913	0.3333	0.8877	0.3056	0.9432
del5	357	15	0.042	0.7333	0.9017	0.3667	0.8867	0.3388	0.8781	0.6	0.9766	0.5625	0.922	0.3342	0.9083
trisomy8	357	18	0.0504	0.7222	0.5131	0.1313	0.5488	0.0538	0.5042	0.5	0.9145	0.3214	0.7688	0.1774	0.8756
FLT3	357	32	0.0896	0.3939	0.8537	0.2766	0.6342	0.1349	0.8338	0.5312	0.9231	0.4595	0.836	0.3348	0.8512
ASXL1	357	12	0.0336	0.4167	0.8797	0.1695	0.5845	0.0613	0.8726	0.4167	0.9652	0.3448	0.8589	0.1664	0.862
TP53	357	12	0.0336	0.6667	0.9341	0.3721	0.8118	0.2918	0.9169	0.9167	0.9478	0.5366	0.958	0.5457	0.876
NPM1	357	54	0.1513	0.6111	0.9153	0.5841	0.8105	0.4947	0.8393	0.6481	0.9802	0.7368	0.8941	0.707	0.8612
FLT3-TKD	357	7	0.0196	0.5	0.8159	0.1039	0.5945	0.0406	0.8116	0.1429	1.0	0.25	0.9139	0.242	0.9816
FLT3-ITD	357	21	0.0588	0.6364	0.8909	0.3836	0.8517	0.2235	0.8615	0.6667	0.9464	0.5283	0.8702	0.319	0.8478
CEBPA	357	9	0.0252	0.2222	0.9886	0.2667	0.7721	0.1271	0.9861	0.3333	0.9914	0.4	0.9017	0.2987	0.9551
KMT2A-rearrangement	357	12	0.0336	0.5833	0.9513	0.3889	0.9112	0.2333	0.9363	0.5	0.9855	0.5217	0.9539	0.4806	0.9583
PTPN11	357	9	0.0252	0.4444	0.9091	0.1778	0.7424	0.0831	0.903	0.2222	0.9943	0.3077	0.8349	0.1763	0.9701
NRAS	357	28	0.0784	0.4643	0.9129	0.3714	0.7746	0.2347	0.8864	0.6429	0.9119	0.48	0.848	0.4392	0.7745
IDH2	357	14	0.0392	0.5	0.7781	0.1429	0.6548	0.0974	0.7673	0.1429	0.9971	0.2353	0.7299	0.2108	0.8786
WT1	357	9	0.0252	0.2222	0.9716	0.1905	0.5824	0.0534	0.9668	0.2222	0.9885	0.2667	0.8091	0.2209	0.8946
KRAS	357	13	0.0364	0.3077	0.9109	0.1667	0.601	0.0641	0.9058	0.3846	0.9302	0.2381	0.7925	0.1073	0.7835
GATA2	357	8	0.0224	0.375	0.966	0.2609	0.5814	0.0851	0.9612	0.625	0.9484	0.3226	0.918	0.3074	0.9391
complex	357	24	0.0672	0.5	0.9199	0.381	0.8327	0.312	0.8947	0.7083	0.8799	0.4198	0.866	0.3783	0.8053
RUNX1	357	13	0.0364	0.3077	0.9397	0.2105	0.624	0.0739	0.9335	0.4615	0.9041	0.2308	0.8334	0.2113	0.8809

MEAN over 24 shared mutations
Sensitivity	bulk 0.5114	multimodal 0.5064	delta -0.0050	wilcoxon_p 0.958
Specificity	bulk 0.8455	multimodal 0.9599	delta +0.1144	wilcoxon_p 0.000175
F1	bulk 0.2609	multimodal 0.4374	delta +0.1765	wilcoxon_p 1.19e-07
AUROC	bulk 0.7061	multimodal 0.8776	delta +0.1715	wilcoxon_p 1.19e-07
