cohort	category	n	n_pos	prevalence	sensitivity	specificity	precision	f1	auroc	TP	FP	FN	TN
BeatAML_CV	ASXL1	615	63	0.1024	0.5556	0.9638	0.6364	0.5932	0.8707	35	20	28	532
BeatAML_CV	BCOR	615	34	0.0553	0.7647	0.9828	0.7222	0.7429	0.9152	26	10	8	571
BeatAML_CV	BCORL1	615	13	0.0211	0.5385	0.99	0.5385	0.5385	0.9089	7	6	6	596
BeatAML_CV	CBL	615	13	0.0211	0.3846	1.0	1.0	0.5556	0.5777	5	0	8	602
BeatAML_CV	CEBPA_Nterminal_frameshift/nonsense	615	32	0.052	0.5938	0.9914	0.7917	0.6786	0.9677	19	5	13	578
BeatAML_CV	CEBPA_bZIP	615	14	0.0228	0.7143	0.9617	0.303	0.4255	0.9364	10	23	4	578
BeatAML_CV	CEBPA_biallelic_or_double	615	16	0.026	0.75	0.9816	0.5217	0.6154	0.9373	12	11	4	588
BeatAML_CV	CREBBP	615	10	0.0163	0.5	0.9983	0.8333	0.625	0.6648	5	1	5	604
BeatAML_CV	CSF3R	615	9	0.0146	0.3333	0.9983	0.75	0.4615	0.6702	3	1	6	605
BeatAML_CV	DNMT3A_R882	615	76	0.1236	0.7237	0.8998	0.5046	0.5946	0.8799	55	54	21	485
BeatAML_CV	DNMT3A_nonR882	615	64	0.1041	0.875	0.3412	0.1337	0.2319	0.6047	56	363	8	188
BeatAML_CV	ETV6	615	6	0.0098	0.1667	0.9787	0.0714	0.1	0.7781	1	13	5	596
BeatAML_CV	EZH2	615	19	0.0309	0.2105	0.9966	0.6667	0.32	0.7794	4	2	15	594
BeatAML_CV	FLT3_ITD	669	158	0.2362	0.7089	0.9452	0.8	0.7517	0.8986	112	28	46	483
BeatAML_CV	FLT3_TKD_D835/I836	615	42	0.0683	0.3095	0.9372	0.2653	0.2857	0.7158	13	36	29	537
BeatAML_CV	FLT3_other_TKD_or_JM	615	27	0.0439	0.2222	0.983	0.375	0.2791	0.7306	6	10	21	578
BeatAML_CV	GATA2	615	29	0.0472	0.4483	0.9846	0.5909	0.5098	0.8304	13	9	16	577
BeatAML_CV	IDH1_R132	615	49	0.0797	0.8163	0.8922	0.396	0.5333	0.9108	40	61	9	505
BeatAML_CV	IDH2_R140	615	62	0.1008	0.6129	0.9168	0.4524	0.5205	0.8384	38	46	24	507
BeatAML_CV	IDH2_R172	615	10	0.0163	0.6	0.995	0.6667	0.6316	0.9612	6	3	4	602
BeatAML_CV	IKZF1	615	9	0.0146	0.6667	0.9835	0.375	0.48	0.8893	6	10	3	596
BeatAML_CV	JAK2_V617F	615	18	0.0293	0.2222	1.0	1.0	0.3636	0.811	4	0	14	597
BeatAML_CV	KIT_D816	615	13	0.0211	0.5385	0.9983	0.875	0.6667	0.8276	7	1	6	601
BeatAML_CV	KMT2A_fusion	671	43	0.0641	0.8372	1.0	1.0	0.9114	0.9632	36	0	7	628
BeatAML_CV	KRAS_G12	615	15	0.0244	0.5333	0.785	0.0584	0.1053	0.7029	8	129	7	471
BeatAML_CV	KRAS_G13	615	10	0.0163	0.3	0.9983	0.75	0.4286	0.955	3	1	7	604
BeatAML_CV	NF1	615	16	0.026	0.4375	0.9466	0.1795	0.2545	0.6734	7	32	9	567
BeatAML_CV	NPM1_exon12_frameshift	615	140	0.2276	0.9571	0.9579	0.8701	0.9116	0.9809	134	20	6	455
BeatAML_CV	NRAS_G12	615	34	0.0553	0.4412	0.8778	0.1744	0.25	0.6777	15	71	19	510
BeatAML_CV	NRAS_G13	615	22	0.0358	0.1818	0.9781	0.2353	0.2051	0.7441	4	13	18	580
BeatAML_CV	NRAS_Q61	615	39	0.0634	0.4872	0.901	0.25	0.3304	0.8309	19	57	20	519
BeatAML_CV	PHF6	615	21	0.0341	0.619	0.9596	0.3514	0.4483	0.8976	13	24	8	570
BeatAML_CV	PTPN11_other	615	20	0.0325	0.35	0.9244	0.1346	0.1944	0.7039	7	45	13	550
BeatAML_CV	RAD21	615	15	0.0244	0.1333	0.97	0.1	0.1143	0.6519	2	18	13	582
BeatAML_CV	RUNX1_LOF	615	75	0.122	0.8667	0.9426	0.6771	0.7602	0.9456	65	31	10	509
