inhibitor	n	auroc	spearman	reliability	ceiling	tier	frac_of_ceiling
Venetoclax	363	0.9364	0.5945	0.4089669481730372	0.6395052370176786	moderate	0.93
Sorafenib	489	0.8784	0.5093	0.4193417480904722	0.6475660183259095	moderate	0.786
Sunitinib	481	0.8691	0.5013	0.4176745386362019	0.646277447104726	moderate	0.776
Trametinib (GSK1120212)	479	0.8694	0.4948	0.6726873906332629	0.8201752194703659	reproducible	0.603
Rapamycin	461	0.8347	0.474	0.4735790623921134	0.6881708090235399	reproducible	0.689
17-AAG (Tanespimycin)	444	0.8639	0.4677	0.0343470803471156	0.1853296531781021	unreliable	2.524
Dovitinib (CHIR-258)	450	0.8395	0.4403	0.1929058669136973	0.4392105041021871	weak	1.003
Elesclomol	426	0.8184	0.4403	-0.2034665976718173	0.0	unreliable	
KW-2449	444	0.8755	0.4303	0.3005635406668643	0.5482367560341648	moderate	0.785
Pelitinib (EKB-569)	447	0.8199	0.4148	0.2716706396106299	0.5212203369119723	weak	0.796
Crenolanib	441	0.7908	0.4127	0.5394152118717563	0.7344489171288608	reproducible	0.562
Panobinostat	283	0.8095	0.4105	0.0524497257963236	0.2290190511645782	unreliable	1.793
Selumetinib (AZD6244)	451	0.8097	0.4093	0.6726873906332629	0.8201752194703659	reproducible	0.499
Cabozantinib	445	0.8046	0.4034	0.5545539882794701	0.7446838176565073	reproducible	0.542
Quizartinib (AC220)	456	0.8002	0.3954	0.4176745386362019	0.646277447104726	moderate	0.612
Foretinib (XL880)	448	0.7949	0.3824	0.5545539882794701	0.7446838176565073	reproducible	0.514
Dasatinib	485	0.777	0.3745	0.0872858248437294	0.295441745262462	unreliable	1.268
Ponatinib (AP24534)	296	0.7686	0.3716	0.3093013166057565	0.5561486461421591	moderate	0.668
Tivozanib (AV-951)	443	0.7619	0.367	0.3646896797564805	0.603895421208408	moderate	0.608
NVP-TAE684	446	0.8016	0.3541	0.2005316105159671	0.4478075596905072	weak	0.791
NF-kB Activation Inhibitor	436	0.7678	0.3504	-0.0291300511019236	0.0	unreliable	
AZD1152-HQPA (AZD2811)	450	0.7806	0.3382	0.215698453061822	0.4644334753889108	weak	0.728
Regorafenib (BAY 73-4506)	445	0.7622	0.3376	0.4193417480904722	0.6475660183259095	moderate	0.521
LY-333531	410	0.771	0.3296	-0.0337693838341041	0.0	unreliable	
CI-1040 (PD184352)	456	0.7518	0.3287	0.5992690213423978	0.7741246807474864	reproducible	0.425
RAF265 (CHIR-265)	445	0.726	0.3238	0.0954990425530302	0.3090291936905481	unreliable	1.048
ABT-737	233	0.7605	0.3179	0.5457208668693057	0.7387292243233008	reproducible	0.43
GSK-1838705A	448	0.7269	0.3154	0.0851829226188477	0.2918611358486219	unreliable	1.081
SNS-032 (BMS-387032)	453	0.7188	0.3154	-0.159932920364811	0.0	unreliable	
Palbociclib	292	0.7438	0.3145	0.278963606401402	0.5281700544345562	weak	0.595
Pazopanib (GW786034)	462	0.7485	0.3073	0.3646896797564805	0.603895421208408	moderate	0.509
Erlotinib	480	0.73	0.3067	0.2854459716144094	0.5342714400137906	weak	0.574
Vandetanib (ZD6474)	476	0.7541	0.3023	0.2249792690655404	0.4743197961982405	weak	0.637
GDC-0941	419	0.7326	0.2864	0.4787823559956076	0.6919410061526977	reproducible	0.414
OTX-015	289	0.7319	0.2852	0.6045294629704342	0.777514927811958	reproducible	0.367
Vargetef	446	0.7204	0.2806	0.155105001352656	0.3938337229753897	weak	0.713
Idelalisib	439	0.6909	0.2739	-0.0240838834631188	0.0	unreliable	
Lenvatinib	339	0.7264	0.27	0.2414916407812326	0.4914179898835945	weak	0.549
MGCD-265	443	0.7175	0.267	0.2687026579835543	0.5183653711269247	weak	0.515
Linifanib (ABT-869)	448	0.7344	0.2657	0.3020730202732696	0.5496116995418399	moderate	0.483
JQ1	344	0.7074	0.2622	0.6045294629704342	0.777514927811958	reproducible	0.337
Axitinib (AG-013736)	471	0.6714	0.2597	0.3045562248519908	0.5518661294661875	moderate	0.471
Canertinib (CI-1033)	450	0.6984	0.2492	0.2988215905128231	0.5466457632807769	weak	0.456
Midostaurin	457	0.7195	0.2468	0.5394152118717563	0.7344489171288608	reproducible	0.336
MK-2206	443	0.6872	0.2456	0.0340656426079713	0.1845688018273168	unreliable	1.331
AT7519	441	0.7095	0.2431	0.3163246421844012	0.5624274550414491	moderate	0.432
Gefitinib	461	0.6851	0.2421	0.2854459716144094	0.5342714400137906	weak	0.453
JNJ-28312141	312	0.6989	0.2419	0.3001635577370665	0.5478718442638447	moderate	0.441
GW-2580	435	0.6813	0.2364	0.2960429409510353	0.5440982824371303	weak	0.434
Doramapimod (BIRB 796)	449	0.681	0.2328	0.3076544011889514	0.5546660267124275	moderate	0.42
Crizotinib (PF-2341066)	465	0.6854	0.2317	0.2296803589205427	0.4792497876061529	weak	0.484
Bosutinib (SKI-606)	451	0.686	0.2303	0.2028599965442299	0.4503998185437355	weak	0.511
Nutlin 3a	319	0.6934	0.2281	0.61238499201141	0.7825503127667958	reproducible	0.292
Motesanib (AMG-706)	445	0.685	0.2268	0.5701389889219035	0.755075485578696	reproducible	0.3
PHA-665752	447	0.6925	0.2266	0.3849702086319027	0.6204596752665742	moderate	0.365
A-674563	456	0.6951	0.224	-0.0163191721444396	0.0	unreliable	
Saracatinib (AZD0530)	445	0.6964	0.2207	0.2028599965442299	0.4503998185437356	weak	0.49
Tozasertib (VX-680)	453	0.6903	0.2155	0.3005635406668642	0.5482367560341648	moderate	0.393
Ibrutinib (PCI-32765)	433	0.6985	0.2147	0.1327871605569889	0.3643997263404418	unreliable	0.589
INK-128	452	0.6723	0.2129	0.4735790623921134	0.6881708090235399	reproducible	0.309
Lenalidomide	262	0.6234	0.2054	-0.1499504322147421	0.0	unreliable	
BEZ235	444	0.6263	0.2043	0.4679202894000031	0.6840469935611172	reproducible	0.299
NVP-ADW742	439	0.6777	0.1972	0.1326767303479422	0.3642481713721323	unreliable	0.541
PI-103	447	0.7244	0.197	0.4223455588830601	0.6498811882821813	moderate	0.303
SU11274	397	0.6366	0.1898	0.389108376954579	0.6237855215974311	moderate	0.304
PP242	453	0.6418	0.1878	0.3793059195314635	0.6158781693902321	moderate	0.305
Cediranib (AZD2171)	448	0.6173	0.1852	0.5701389889219034	0.7550754855786959	reproducible	0.245
YM-155	452	0.5968	0.1821	0.3478022689472481	0.5897476315740896	moderate	0.309
Bortezomib (Velcade)	458	0.6424	0.182	0.0578665342091457	0.2405546387188278	unreliable	0.757
Entrectinib	212	0.5765	0.1745	-0.0058060983554323	0.0	unreliable	
Tofacitinib (CP-690550)	453	0.6276	0.1734	0.117531109037386	0.3428281042116968	unreliable	0.506
Bay 11-7085	339	0.6406	0.1722	0.3687482203065756	0.6072464246964123	moderate	0.284
SR9011	263	0.6191	0.1718	-0.0210477292189354	0.0	unreliable	
Gilteritinib	275	0.6688	0.1684	0.3572297394766452	0.5976869912225339	moderate	0.282
Nilotinib	467	0.6632	0.1678	-0.0489045329812683	0.0	unreliable	
Flavopiridol	446	0.6137	0.1654	0.3163246421844013	0.5624274550414492	moderate	0.294
Lapatinib	459	0.6397	0.1624	0.2988215905128231	0.5466457632807769	weak	0.297
KU-55933	448	0.6236	0.1601	0.0918201217123766	0.3030183521049124	unreliable	0.528
KI20227	400	0.6105	0.1599	0.3553034996102853	0.5960734011934145	moderate	0.268
