inhibitor	reliability	reliability_source	family_mean_r	ceiling_spearman	reliability_tier
Selumetinib (AZD6244)	0.6726873906332629	same_mechanism:Trametinib (GSK1120212)	0.43857255917691906	0.8201752194703659	reproducible
Trametinib (GSK1120212)	0.6726873906332629	same_mechanism:Selumetinib (AZD6244)	0.3477755033111732	0.8201752194703659	reproducible
Nutlin 3a	0.61238499201141	family_mean	0.61238499201141	0.7825503127667958	reproducible
JQ1	0.6045294629704342	same_mechanism:OTX-015	0.2922644718728167	0.777514927811958	reproducible
OTX-015	0.6045294629704342	same_mechanism:JQ1	0.35536933184302716	0.777514927811958	reproducible
CI-1040 (PD184352)	0.5992690213423978	same_mechanism:Trametinib (GSK1120212)	0.38908773226043014	0.7741246807474864	reproducible
Motesanib (AMG-706)	0.5701389889219035	same_mechanism:Cediranib (AZD2171)	-0.08912957405557556	0.755075485578696	reproducible
Cediranib (AZD2171)	0.5701389889219034	same_mechanism:Motesanib (AMG-706)	-0.16161834549833054	0.7550754855786959	reproducible
Foretinib (XL880)	0.5545539882794701	same_mechanism:Cabozantinib	0.17971279786988154	0.7446838176565073	reproducible
Cabozantinib	0.5545539882794701	same_mechanism:Foretinib (XL880)	0.23288797958910287	0.7446838176565073	reproducible
ABT-737	0.5457208668693057	family_mean	0.5457208668693057	0.7387292243233008	reproducible
Crenolanib	0.5394152118717563	same_mechanism:Midostaurin	0.40995301651965066	0.7344489171288608	reproducible
Midostaurin	0.5394152118717563	same_mechanism:Crenolanib	0.3275096301732653	0.7344489171288608	reproducible
GDC-0941	0.47878235599560764	family_mean	0.47878235599560764	0.6919410061526977	reproducible
INK-128	0.47357906239211345	same_mechanism:Rapamycin	0.45118996378719284	0.6881708090235399	reproducible
Rapamycin	0.47357906239211345	same_mechanism:INK-128	0.49390587232886846	0.6881708090235399	reproducible
BEZ235	0.46792028940000313	same_mechanism:Rapamycin	0.39116766600470654	0.6840469935611172	reproducible
PI-103	0.4223455588830601	same_mechanism:Rapamycin	0.3258864861235407	0.6498811882821813	moderate
Sorafenib	0.4193417480904722	same_mechanism:Regorafenib (BAY 73-4506)	0.2859378480324498	0.6475660183259095	moderate
Regorafenib (BAY 73-4506)	0.4193417480904722	same_mechanism:Sorafenib	0.2313652355147379	0.6475660183259095	moderate
Sunitinib	0.41767453863620196	same_mechanism:Quizartinib (AC220)	0.4117899562350277	0.646277447104726	moderate
Quizartinib (AC220)	0.4176745386362019	same_mechanism:Sunitinib	0.3307160633174996	0.646277447104726	moderate
Venetoclax	0.40896694817303725	family_mean	0.40896694817303725	0.6395052370176786	moderate
SU11274	0.38910837695457906	same_mechanism:JNJ-38877605	-0.03928485262738393	0.6237855215974311	moderate
JNJ-38877605	0.389108376954579	same_mechanism:SU11274	-0.020817226800867908	0.623785521597431	moderate
SGX-523	0.3849702086319027	same_mechanism:PHA-665752	-0.14268929846277464	0.6204596752665742	moderate
PHA-665752	0.3849702086319027	same_mechanism:SGX-523	0.15890194183731815	0.6204596752665742	moderate
PP242	0.3793059195314635	same_mechanism:Rapamycin	0.34005920790292704	0.6158781693902321	moderate
MLN120B	0.36874822030657567	same_mechanism:Bay 11-7085	0.20897729496112497	0.6072464246964124	moderate
Bay 11-7085	0.3687482203065756	same_mechanism:MLN120B	0.288839331092965	0.6072464246964123	moderate
Tivozanib (AV-951)	0.3646896797564805	same_mechanism:Pazopanib (GW786034)	0.2178105334439449	0.603895421208408	moderate
Pazopanib (GW786034)	0.3646896797564805	same_mechanism:Tivozanib (AV-951)	0.29243937475559395	0.603895421208408	moderate
MLN8054	0.35748361147352364	same_mechanism:Alisertib (MLN8237)	0.28474342079806003	0.597899332223681	moderate
Alisertib (MLN8237)	0.3574836114735236	same_mechanism:MLN8054	0.32204192674746923	0.597899332223681	moderate
Gilteritinib	0.35722973947664527	family_mean	0.35722973947664527	0.5976869912225339	moderate
KI20227	0.3553034996102853	same_mechanism:Cediranib (AZD2171)	0.07508834824984804	0.5960734011934145	moderate
YM-155	0.3478022689472481	family_mean	0.3478022689472481	0.5897476315740896	moderate
AGI-6780	0.34262214572274785	family_mean	0.34262214572274785	0.585339342367099	moderate
Flavopiridol	0.3163246421844013	same_mechanism:AT7519	-0.02872180232469668	0.5624274550414492	moderate
AT7519	0.31632464218440126	same_mechanism:Flavopiridol	0.05817474844352887	0.5624274550414491	moderate
Ponatinib (AP24534)	0.3093013166057565	same_mechanism:Quizartinib (AC220)	0.19853459306925164	0.5561486461421591	moderate
Doramapimod (BIRB 796)	0.3076544011889514	same_mechanism:VX-745	0.16822872068963304	0.5546660267124275	moderate
VX-745	0.3076544011889513	same_mechanism:Doramapimod (BIRB 796)	0.2940544677087011	0.5546660267124275	moderate
AGI-5198	0.3070101272701991	family_mean	0.3070101272701991	0.5540849458974672	moderate
Axitinib (AG-013736)	0.30455622485199085	same_mechanism:KI20227	0.02104668369852246	0.5518661294661875	moderate
Linifanib (ABT-869)	0.30207302027326965	same_mechanism:KI20227	-0.14646083478103633	0.5496116995418399	moderate
KW-2449	0.3005635406668643	same_mechanism:Tozasertib (VX-680)	0.2192984166872345	0.5482367560341648	moderate
Tozasertib (VX-680)	0.30056354066686425	same_mechanism:KW-2449	0.09849726350950651	0.5482367560341648	moderate
JNJ-28312141	0.30016355773706654	same_mechanism:Linifanib (ABT-869)	0.1986785006047151	0.5478718442638447	moderate
Lapatinib	0.29882159051282314	same_mechanism:Canertinib (CI-1033)	0.09101348648987122	0.5466457632807769	weak
Canertinib (CI-1033)	0.29882159051282314	same_mechanism:Lapatinib	0.11669042371206528	0.5466457632807769	weak
GW-2580	0.2960429409510353	same_mechanism:JNJ-28312141	0.19862337191657342	0.5440982824371303	weak
Erlotinib	0.28544597161440943	same_mechanism:Gefitinib	0.14560078780726018	0.5342714400137906	weak
Gefitinib	0.28544597161440943	same_mechanism:Erlotinib	0.13643351784882984	0.5342714400137906	weak
JNJ-7706621	0.2817174735019268	family_mean	0.2817174735019268	0.5307706411454262	weak
SB-431542	0.27971678397672745	family_mean	0.27971678397672745	0.5288825805192751	weak
Palbociclib	0.27896360640140205	family_mean	0.27896360640140205	0.5281700544345562	weak
Vatalanib (PTK787)	0.27618033540098735	same_mechanism:Pazopanib (GW786034)	0.19498329134223885	0.5255286247208494	weak
Pelitinib (EKB-569)	0.2716706396106299	same_mechanism:Lapatinib	0.1326784670857927	0.5212203369119723	weak
MGCD-265	0.26870265798355436	same_mechanism:Cabozantinib	0.0633622904524877	0.5183653711269247	weak
JAK Inhibitor I	0.248730790170476	same_mechanism:Ruxolitinib (INCB018424)	0.27528049525597137	0.4987291751747395	weak
Ruxolitinib (INCB018424)	0.24873079017047597	same_mechanism:JAK Inhibitor I	0.22211858413667324	0.49872917517473947	weak
Lenvatinib	0.2414916407812326	same_mechanism:Axitinib (AG-013736)	0.15355046169482023	0.49141798988359453	weak
DBZ	0.23317264846524657	family_mean	0.23317264846524657	0.48287953825488045	weak
Crizotinib (PF-2341066)	0.22968035892054273	family_mean	0.22968035892054273	0.47924978760615294	weak
AZD1480	0.22523899191783742	same_mechanism:Ruxolitinib (INCB018424)	0.07952796079273074	0.4745935017652869	weak
Vandetanib (ZD6474)	0.22497926906554044	family_mean	0.22497926906554044	0.47431979619824055	weak
AZD1152-HQPA (AZD2811)	0.21569845306182203	family_mean	0.21569845306182203	0.46443347538891083	weak
Saracatinib (AZD0530)	0.20285999654422995	same_mechanism:Bosutinib (SKI-606)	0.1782665151335595	0.4503998185437356	weak
Bosutinib (SKI-606)	0.20285999654422993	same_mechanism:Saracatinib (AZD0530)	0.1743490298044532	0.45039981854373556	weak
Masitinib (AB-1010)	0.20061104591123644	same_mechanism:Imatinib	0.15010389489210366	0.4478962445826449	weak
Imatinib	0.2006110459112364	same_mechanism:Masitinib (AB-1010)	0.23795254073268693	0.4478962445826448	weak
NVP-TAE684	0.20053161051596718	family_mean	0.20053161051596718	0.44780755969050723	weak
Dovitinib (CHIR-258)	0.19290586691369735	family_mean	0.19290586691369735	0.43921050410218715	weak
PHT-427	0.1881095215313779	family_mean	0.1881095215313779	0.43371594567340715	weak
Afatinib (BIBW-2992)	0.1590197290742066	same_mechanism:Neratinib (HKI-272)	-0.00287777789539207	0.39877277875277123	weak
Neratinib (HKI-272)	0.1590197290742066	same_mechanism:Afatinib (BIBW-2992)	-0.05940374842300995	0.39877277875277123	weak
Vargetef	0.155105001352656	same_mechanism:Pazopanib (GW786034)	0.22051872057882818	0.3938337229753897	weak
BMS-345541	0.14982122626156447	same_mechanism:MLN120B	0.0735273077611299	0.38706746990875435	unreliable
CYT387	0.137925151052425	same_mechanism:Ruxolitinib (INCB018424)	0.133668957531506	0.3713827554591422	unreliable
Ibrutinib (PCI-32765)	0.1327871605569889	family_mean	0.1327871605569889	0.3643997263404418	unreliable
GSK-1904529A	0.13267673034794225	same_mechanism:NVP-ADW742	0.06522570392408926	0.3642481713721323	unreliable
NVP-ADW742	0.13267673034794225	same_mechanism:GSK-1904529A	0.06061906234309267	0.3642481713721323	unreliable
Tofacitinib (CP-690550)	0.11753110903738603	same_mechanism:JAK Inhibitor I	0.12679301195543544	0.3428281042116968	unreliable
PD173955	0.11746841686463325	same_mechanism:Saracatinib (AZD0530)	0.04124058059678044	0.34273665818618415	unreliable
STO609	0.1068625686801424	family_mean	0.1068625686801424	0.3268984072768517	unreliable
RAF265 (CHIR-265)	0.09549904255303028	same_mechanism:Regorafenib (BAY 73-4506)	-0.010003898064756116	0.3090291936905481	unreliable
KU-55933	0.09182012171237668	family_mean	0.09182012171237668	0.3030183521049124	unreliable
Dasatinib	0.08728582484372949	family_mean	0.08728582484372949	0.295441745262462	unreliable
GSK-1838705A	0.08518292261884772	same_mechanism:GSK-1904529A	0.018002480210631056	0.2918611358486219	unreliable
Volasertib (BI-6727)	0.0849477197145479	family_mean	0.0849477197145479	0.29145792100155365	unreliable
XAV-939	0.06557314151155336	family_mean	0.06557314151155336	0.2560725317396486	unreliable
Bortezomib (Velcade)	0.05786653420914577	family_mean	0.05786653420914577	0.2405546387188278	unreliable
Panobinostat	0.05244972579632369	family_mean	0.05244972579632369	0.2290190511645782	unreliable
17-AAG (Tanespimycin)	0.034347080347115644	family_mean	0.034347080347115644	0.18532965317810218	unreliable
MK-2206	0.03406564260797134	same_mechanism:GSK690693	0.502220206376361	0.1845688018273168	unreliable
GSK690693	0.03406564260797134	same_mechanism:MK-2206	-0.07606555458827463	0.1845688018273168	unreliable
Selinexor	0.033360208132450046	family_mean	0.033360208132450046	0.18264777067473353	unreliable
Entrectinib	-0.0058060983554323745	family_mean	-0.0058060983554323745	0.0	unreliable
A-674563	-0.016319172144439637	same_mechanism:H-89	-0.08919683225708216	0.0	unreliable
H-89	-0.01631917214443964	same_mechanism:A-674563	0.1012029510029557	0.0	unreliable
SR9011	-0.021047729218935444	family_mean	-0.021047729218935444	0.0	unreliable
PRT062607	-0.021919608360286325	same_mechanism:Entospletinib (GS-9973)	0.04332173580347302	0.0	unreliable
Entospletinib (GS-9973)	-0.021919608360286325	same_mechanism:PRT062607	0.19835864461271627	0.0	unreliable
