inhibitor	n	replicate_r
Trametinib (GSK1120212)	64	0.8731227106227104
Venetoclax	57	0.8389104050622594
Rapamycin	475	0.799447068838938
Dasatinib	511	0.7948495237135949
Crenolanib	421	0.7524371318249581
Quizartinib (AC220)	429	0.7364257517910276
Sorafenib	514	0.6827286884179333
Nilotinib	490	0.6650123660724646
Ponatinib (AP24534)	320	0.6605359915624176
Sunitinib	507	0.6491730690503503
Ibrutinib (PCI-32765)	114	0.6285858933597942
GDC-0941	385	0.6199909063567667
Axitinib (AG-013736)	100	0.6116411641164116
GW-2580	405	0.5286902910323874
Gefitinib	456	0.5119821097939261
Imatinib	157	0.5055073524395463
Idelalisib	220	0.5006485859024135
Pazopanib (GW786034)	213	0.49744064812078254
Erlotinib	473	0.4415413672809282
Vandetanib (ZD6474)	97	0.42932095518619817
Crizotinib (PF-2341066)	437	0.40911805991529415
Ruxolitinib (INCB018424)	420	0.37364902457334953
Vemurafenib (PLX-4032)	321	0.3661327422070007
NVP-ADW742	156	0.3058178312338986
Lapatinib	402	0.27471846660154176
GSK-1904529A	159	0.2486923811798424
PLX-4720	86	0.24349261757630078
