mutation	top_modalities	top_genes_present	top_cellstates
complex	Metabolite:0.80, Lipid:0.20	CYYR1, OPHN1, AFF2, SASH1, HIST1H2AC, SYCP2L	LMPP-1, MPP-2, ERP-2, ERP-3
del5	Metabolite:0.50, RNA:0.42, Lipid:0.08	DPP10, LINC00355, CPA6, UDONprog_P6, TRBV28, AC004448.2	immNeu-1, ERP-3, ERP-2, preNeu
del7	GRN:0.37, RNA:0.26, Lipid:0.22, Metabolite:0.15	AP005273.2, LINC00355, RGPD2, AC104232.1, MDFI, LONRF3	MDP-1, MPP-1, Erythroblast-1, MPP-2
inv16	Metabolite:1.00	KRT17, C5AR2, WWC2, ARHGAP23, FN1, RTL8C	LMPP-1, MEP-2, BMCP-1, Intermediate Mono-3
kmt2a	Metabolite:0.25, Lipid:0.24, RNA:0.23, GRN:0.21, ADT:0.08	PRAME, GOLGA8M, LIN7A, HOPX, GLT1D1, ZNF521	Myeloid intermediate 3, cDC2-1, Mono-2, Myeloid intermediate 2
trisomy8	Lipid:0.44, ADT:0.31, RNA:0.20, LSC:0.05	AC096711.2, OASL, RNF150, JCHAIN, IGFBP2, DANT2	Mono-2, ERP-3, ERP-4, immNeu-1
ASXL1	RNA:0.56, Composition:0.24, LSC:0.14, GRN:0.06	CADM1, RTN1, CDKN2A, ENAH, OOEP, CARMIL1	pDC, pre-DC-1, Multilin-2, cDC2-2
CEBPA	Metabolite:0.44, RNA:0.29, Cell-comm:0.17, Lipid:0.08, GRN:0.02	PPBP, MYO18B, ZNF385D, UDONprog_P6, UDONprog_P11, AC044893.1	ERP-2, ERP-1, ERP-4, MultiLin-GMP-3
DNMT3A	GRN:0.57, RNA:0.43	FAM20A, KCNK17, FABP5, NKAIN2, SPINK2, LDLRAD3	MPP-1, Erythroblast-3, MultiLin-GMP-3, cMOP
FLT3	ADT:0.54, GRN:0.40, Metabolite:0.06, Composition:0.00	HOXA11-AS, ADCY2, COL24A1, MRC1, ARL17B, KIF21A	MEP-Eryth-1, CLP, MDP-2, immNeu-1
FLT3-ITD	Lipid:0.45, RNA:0.36, GRN:0.14, ADT:0.05	UDONprog_P12, AKR1C3, CRIP1, AC025580.2, MRC1, TRAT1	MPP-1, immNeu-1, MDP-2, MEP-1
FLT3-TKD	RNA:0.64, ADT:0.20, Composition:0.14, GRN:0.02	FAM20A, HPGDS, KCNH2, ZNF185, HOXA11-AS, ADCY2	T CD4 Naive-1, MultiLin-GMP-3, Intermediate Mono-1, cDC1
GATA2	ADT:0.32, Lipid:0.32, RNA:0.23, Metabolite:0.14	AC034195.1, ITSN1, AVP, HDC, MYO18B, ZBTB16	MDP-2, MEP-1, MEP-2, MultiLin-GMP-2
IDH1	Lipid:0.76, Cell-comm:0.16, RNA:0.06, GRN:0.02	HBD, UDONprog_P10, FCGR3A, GPT2, MYL4, DTNA	ERP-8, ERP-1, Mono-1, LMPP-1
IDH2	Metabolite:0.34, LSC:0.32, ADT:0.30, GRN:0.04	XCL2, HMOX1, UNC5C, CCL3, ASPH, MT-ND6	MKP-early, cDC2-1, MDP-2, pre-DC-2
KIT	Composition:0.38, ADT:0.20, Cell-comm:0.17, Lipid:0.16, RNA:0.09	AL355612.1, HLA-DQA2, LRP12, VSTM1, CDH9, AP001831.1	Plasma Cell, cMOP, cDC2-2, Classical-Mono
KMT2A-rearrangement	Metabolite:0.25, Lipid:0.24, RNA:0.23, GRN:0.21, ADT:0.08	PRAME, GOLGA8M, LIN7A, HOPX, GLT1D1, ZNF521	Myeloid intermediate 3, cDC2-1, Mono-2, Myeloid intermediate 2
KRAS	GRN:0.37, Lipid:0.26, ADT:0.21, Cell-comm:0.16	CTSL, HLA-DQA2, CAVIN2, DNAJC6, SAMD12, IGLL1	BMCP-1, preNeu, CD8 TEM, pDC
NPM1	RNA:0.61, GRN:0.31, Metabolite:0.07	CD2, SNAP25-AS1, AC117453.1, GATA3, SPINK2, GAS7	MultiLin-GMP-2, immNeu-2, Myeloid intermediate 2, Mono-1
NRAS	GRN:0.43, Cell-comm:0.37, Composition:0.14, Lipid:0.06	ARHGAP23, KIFC3, TRIM71, OOEP, MCTP2, ADGRG1	MPP-1, ASDC, MDP-1, Multilin-1
PTPN11	Metabolite:0.54, Cell-comm:0.27, Lipid:0.20	VNN3, HMOX1, LINC01500, BANK1, PTAFR, C1QA	cDC2-1, pre-DC-2, Classical-Mono, MAIT
RUNX1	GRN:0.51, Metabolite:0.28, RNA:0.21	CLU, UDONprog_P8, ENAH, ADM, CTNNA3, LINC02446	ERP-1, pre-DC-2, B Memory-2, ERP-7
TET2	GRN:0.35, Metabolite:0.31, Lipid:0.20, RNA:0.14	ELANE, CDKN2A, NDN, CYP7B1, AC007262.2, UDONprog_P9	cDC2-2, B Memory-2, pre-DC-2, Classical-Mono
TP53	Metabolite:1.00	AL035446.2, VSTM1, HGF, UDONprog_P2, AFF2, BEX1	MultiLin-GMP-2, Mono-2, LMPP-1, cDC1
WT1	Composition:0.42, LSC:0.37, ADT:0.11, RNA:0.10	CD9, SLC25A21, COL23A1, ZFPM2, ROBO2, CDC42BPA	Multilin-2, CD8 TEM, MEP-2, LMPP-2
inv(16)_CBFB-MYH11	Metabolite:1.00	KRT17, C5AR2, WWC2, ARHGAP23, FN1, RTL8C	LMPP-1, MEP-2, BMCP-1, Intermediate Mono-3
