driver	n_positive	fused_AUROC	best_modality	best_single_AUROC	margin_over_runner_up	RNA	BulkRNA	Composition	ADT	Lipid	Metabolite	GRN	LSC	Cell-comm	weight_RNA	weight_BulkRNA	weight_Composition	weight_ADT	weight_Lipid	weight_Metabolite	weight_GRN	weight_LSC	weight_Cell-comm
inv16	11	0.9971	RNA	0.9971	+0.0010	0.9971	0.9668	0.9574	0.9860	0.9951	0.9961	0.9948	0.5234	0.9834	0.110	0.122	0.077	0.148	0.147	0.106	0.097		0.192
kmt2a	12	0.9742	BulkRNA	0.9112	+0.0012	0.9062	0.9112	0.7276	0.8610	0.8441	0.9100	0.9062	0.7658	0.8118	0.121	0.267		0.238		0.209	0.165		
del7	18	0.9702	Metabolite	0.9498	+0.0013	0.8912	0.7732	0.6053	0.7238	0.8510	0.9498	0.9485	0.7692	0.8355	0.115					0.424	0.434		0.027
SF3B1	12	0.9585	Metabolite	0.9207	+0.0113	0.8345	0.8629	0.6910	0.8128	0.8457	0.9207	0.8534	0.6187	0.9094		0.168				0.507			0.325
CEBPA	10	0.9550	Metabolite	0.8387	+0.0312	0.6926	0.7584	0.7838	0.6125	0.7578	0.8387	0.7701	0.5641	0.8075		0.768	0.049						0.182
del5	15	0.9442	Metabolite	0.8977	+0.0110	0.8420	0.8867	0.8106	0.7204	0.8470	0.8977	0.8459	0.5289	0.7203		0.406	0.157			0.437			
FLT3-TKD	14	0.9432	RNA	0.9222	+0.0977	0.9222	0.6972	0.8205	0.8203	0.8199	0.7970	0.7981	0.6429	0.8245	0.656		0.079						0.258
TET2	20	0.9368	GRN	0.9177	+0.0256	0.8921	0.6235	0.7569	0.8694	0.8525	0.8864	0.9177	0.5556	0.7016	0.384			0.297	0.107	0.087	0.126		
NRAS	48	0.9318	Metabolite	0.8354	+0.0094	0.8229	0.7976	0.8260	0.7445	0.7871	0.8354	0.7823	0.6299	0.7789	0.021	0.460	0.218				0.301		
TP53	13	0.9258	Metabolite	0.9284	+0.0091	0.9193	0.8280	0.5422	0.6293	0.8851	0.9284	0.8877	0.6008	0.7330	0.469				0.094	0.407	0.029		
KIT	12	0.9237	RNA	0.8725	+0.0225	0.8725	0.6258	0.7333	0.8477	0.7939	0.7736	0.7378	0.6280	0.8500	0.476						0.112		0.411
ASXL1	14	0.9211	Cell-comm	0.8316	+0.0652	0.6898	0.5865	0.7007	0.5093	0.7664	0.6571	0.7627	0.6262	0.8316					0.229		0.369		0.402
SRSF2	15	0.9142	Lipid	0.8461	+0.0149	0.8312	0.7613	0.7530	0.8035	0.8461	0.8037	0.7391	0.6690	0.6556	0.108	0.196		0.393	0.049	0.210	0.045		
NPM1	65	0.9121	RNA	0.8971	+0.0191	0.8971	0.8780	0.7473	0.8289	0.8608	0.8762	0.8660	0.5255	0.7920	0.401	0.182		0.065	0.092	0.202	0.058		
IDH2	37	0.9059	GRN	0.8183	+0.0054	0.7933	0.7121	0.7607	0.7543	0.7782	0.8129	0.8183	0.5221	0.6792		0.350				0.485	0.162		
IDH1	15	0.8929	RNA	0.7553	+0.0073	0.7553	0.5443	0.6493	0.5961	0.7193	0.6838	0.5778	0.5493	0.7480	0.333	0.528							0.139
complex	24	0.8821	Metabolite	0.8487	+0.0049	0.7920	0.8327	0.5908	0.5205	0.8438	0.8487	0.7838	0.5880	0.6598	0.039	0.327			0.264	0.371			
DNMT3A	45	0.8698	GRN	0.8033	+0.0198	0.7835	0.7366	0.7359	0.7058	0.7615	0.7641	0.8033	0.5392	0.7267	0.046	0.350			0.044	0.465			0.094
WT1	15	0.8696	Cell-comm	0.7528	+0.0335	0.6626	0.7193	0.5844	0.5566	0.6083	0.6449	0.5983	0.5000	0.7528		0.788							0.212
RUNX1	19	0.8687	Metabolite	0.8994	+0.0713	0.8281	0.6006	0.7038	0.7816	0.7467	0.8994	0.8129	0.5916	0.7105	0.321	0.198				0.481			
FLT3-ITD	33	0.8680	GRN	0.8074	+0.0095	0.7662	0.7945	0.7235	0.7658	0.7979	0.7555	0.8074	0.6846	0.7300	0.067	0.165		0.406	0.116	0.246			
PTPN11	9	0.8487	ADT	0.7841	+0.0164	0.5486	0.7424	0.7020	0.7841	0.7677	0.7238	0.7014	0.7317	0.6095		0.099		0.157	0.240	0.247	0.189	0.068	
GATA2	8	0.8463	ADT	0.9186	+0.1470	0.7461	0.5814	0.6753	0.9186	0.7716	0.7426	0.7064	0.5439	0.5924	0.028	0.085		0.564	0.205		0.117		
FLT3	31	0.8260	ADT	0.8201	+0.0494	0.6823	0.6735	0.6188	0.8201	0.7532	0.7707	0.7525	0.6679	0.6406				0.637	0.110	0.253			
KRAS	17	0.8037	Lipid	0.7163	+0.0299	0.6864	0.5094	0.5123	0.6243	0.7163	0.6448	0.6679	0.5239	0.5735				0.889	0.111				
trisomy8	18	0.7686	Lipid	0.7650	+0.0878	0.5701	0.5488	0.5110	0.5023	0.7650	0.6772	0.6654	0.5405	0.5841				0.013	0.949		0.033		
