vaf_bin	n_positive	n_called	sensitivity
subclonal <0.10	31	9	0.2903
0.10–0.25	212	94	0.4434
0.25–0.40	399	258	0.6466
clonal ≥0.40	670	460	0.6866

gene	n_positive	median_vaf	sensitivity
NPM1	140	0.295	0.957
DNMT3A	140	0.440	0.793
NRAS	95	0.382	0.379
FLT3	79	0.282	0.304
RUNX1	75	0.467	0.853
IDH2	72	0.437	0.597
SRSF2	72	0.454	0.917
ASXL1	63	0.350	0.556
CEBPA	62	0.399	0.629
IDH1	49	0.437	0.816
WT1	47	0.337	0.532
STAG2	43	0.614	0.674
BCOR	34	0.639	0.765
U2AF1	33	0.427	0.818
GATA2	29	0.393	0.414
SF3B1	28	0.461	0.857
KRAS	25	0.324	0.400
PHF6	21	0.454	0.619
PTPN11	20	0.319	0.350
EZH2	19	0.437	0.158
JAK2	18	0.447	0.222
NF1	16	0.355	0.438
RAD21	15	0.418	0.133
KIT	13	0.430	0.462
CBL	13	0.500	0.385
BCORL1	13	0.389	0.538
SMC3	10	0.382	0.100
SMC1A	10	0.461	0.200
ZRSR2	10	0.894	0.300
CREBBP	10	0.326	0.400
IKZF1	9	0.339	0.556
CSF3R	9	0.434	0.333
SUZ12	7	0.364	0.143
SETBP1	7	0.458	0.429
ETV6	6	0.344	0.000
