Dataset,template_column,assayed_in_GSE281087,source_column,n_positive,interpretation_of_zero
GSE281087,ASXL1,Yes,ASXL1,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,BCOR,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,BCORL1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,BRAF,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,CBL,Yes,CBL,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,CDK6,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,CEBPA,Yes,CEBPA,6,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,CSF1R,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,CSF3R,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,CTCF,Yes,CTCF,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,CUX1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,DNMT3A,Yes,DNMT3A,6,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,ETV6,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,EZH2,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,FLT3,Yes,FLT3,13,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,GATA1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,GATA2,Yes,GATA2,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,IDH1,Yes,IDH1/IDH2,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,IDH2,Yes,IDH1/IDH2,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,IKZF1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,JAK2,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,KDM6A,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,KIT,Yes,KIT,1,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,KRAS,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,KMT2A,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,MBNL1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,MECOM,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,NF1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,NIPBL,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,NOTCH1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,NPM1,Yes,NPM1,10,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,NRAS,Yes,NRAS,0,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,PHF6,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,PHIP,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,PPM1D,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,PTPN11,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,RAD21,Yes,RAD21,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,RUNX1,Yes,RUNX1,0,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,SETBP1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,SETD1A,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,SETD2,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,SF3B1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,SMC1A,Yes,SMC1a,3,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,SMC3,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
GSE281087,SRSF2,Yes,SRSF2,2,Assayed by the GSE281087 panel and not called (wild-type as reported).
GSE281087,STAG1,No,,0,NEVER ASSAYED by the GSE281087 panel. 0 does not imply wild-type.
