mutation,n_pos,fused_train_auc,heldout_auc,threshold,RNA,Composition,ADT,Lipid,Metabolite,GRN,LSC,Cell-comm,best_modality,best_single_auc,fusion_weights
inv16,11,0.997,0.875,0.961,0.996,0.953,0.982,0.996,0.997,0.995,0.587,0.969,Metabolite,0.997,{'Metabolite': 1.0}
inv(16)_CBFB-MYH11,11,0.997,0.875,0.961,0.996,0.953,0.982,0.996,0.997,0.995,0.587,0.969,Metabolite,0.997,{'Metabolite': 1.0}
del7,18,0.986,1.0,0.948,0.963,0.689,0.794,0.962,0.972,0.981,0.723,0.778,GRN,0.981,"{'GRN': 0.367, 'RNA': 0.264, 'Lipid': 0.223, 'Metabolite': 0.146}"
kmt2a,12,0.953,,0.972,0.909,0.772,0.873,0.92,0.92,0.889,0.753,0.687,Lipid,0.92,"{'Metabolite': 0.248, 'Lipid': 0.238, 'RNA': 0.225, 'GRN': 0.211, 'ADT': 0.078}"
KMT2A-rearrangement,12,0.953,,0.972,0.909,0.772,0.873,0.92,0.92,0.889,0.753,0.687,Lipid,0.92,"{'Metabolite': 0.248, 'Lipid': 0.238, 'RNA': 0.225, 'GRN': 0.211, 'ADT': 0.078}"
TP53,12,0.952,0.767,0.931,0.841,0.54,0.648,0.864,0.951,0.904,0.569,0.796,Metabolite,0.951,{'Metabolite': 1.0}
FLT3-TKD,8,0.942,0.977,0.811,0.91,0.792,0.752,0.688,0.728,0.717,0.62,0.539,RNA,0.91,"{'RNA': 0.644, 'ADT': 0.195, 'Composition': 0.139, 'GRN': 0.023}"
CEBPA,9,0.938,,0.914,0.865,0.739,0.734,0.845,0.89,0.839,0.711,0.797,Metabolite,0.89,"{'Metabolite': 0.441, 'RNA': 0.295, 'Cell-comm': 0.171, 'Lipid': 0.076, 'GRN': 0.017}"
TET2,20,0.93,0.791,0.936,0.857,0.76,0.816,0.871,0.899,0.901,0.543,0.718,GRN,0.901,"{'GRN': 0.346, 'Metabolite': 0.312, 'Lipid': 0.202, 'RNA': 0.14}"
del5,15,0.922,,0.929,0.889,0.657,0.719,0.869,0.904,0.747,0.526,0.55,Metabolite,0.904,"{'Metabolite': 0.497, 'RNA': 0.423, 'Lipid': 0.08}"
IDH1,12,0.901,0.681,0.897,0.781,0.719,0.77,0.876,0.777,0.796,0.511,0.743,Lipid,0.876,"{'Lipid': 0.757, 'Cell-comm': 0.163, 'RNA': 0.062, 'GRN': 0.018}"
NPM1,54,0.895,0.988,0.827,0.885,0.754,0.793,0.837,0.843,0.864,0.578,0.754,RNA,0.885,"{'RNA': 0.615, 'GRN': 0.312, 'Metabolite': 0.072}"
WT1,9,0.894,0.48,0.776,0.701,0.765,0.716,0.527,0.632,0.537,0.733,0.523,Composition,0.765,"{'Composition': 0.425, 'LSC': 0.37, 'ADT': 0.11, 'RNA': 0.095}"
complex,24,0.884,0.909,0.895,0.743,0.589,0.645,0.827,0.88,0.811,0.602,0.638,Metabolite,0.88,"{'Metabolite': 0.798, 'Lipid': 0.202}"
FLT3-ITD,22,0.838,0.895,0.917,0.816,0.713,0.777,0.833,0.745,0.804,0.69,0.629,Lipid,0.833,"{'Lipid': 0.448, 'RNA': 0.359, 'GRN': 0.141, 'ADT': 0.052}"
RUNX1,13,0.833,0.981,0.933,0.766,0.55,0.636,0.685,0.795,0.814,0.57,0.668,GRN,0.814,"{'GRN': 0.511, 'Metabolite': 0.276, 'RNA': 0.213}"
ASXL1,12,0.833,0.52,0.807,0.781,0.718,0.5,0.688,0.601,0.71,0.68,0.515,RNA,0.781,"{'RNA': 0.564, 'Composition': 0.244, 'LSC': 0.135, 'GRN': 0.056}"
FLT3,33,0.822,0.706,0.846,0.712,0.717,0.798,0.753,0.767,0.781,0.642,0.54,ADT,0.798,"{'ADT': 0.536, 'GRN': 0.398, 'Metabolite': 0.062, 'Composition': 0.003}"
GATA2,8,0.82,,0.927,0.786,0.648,0.805,0.809,0.794,0.745,0.643,0.538,Lipid,0.809,"{'ADT': 0.322, 'Lipid': 0.316, 'RNA': 0.226, 'Metabolite': 0.136}"
KRAS,13,0.804,0.84,0.755,0.622,0.513,0.716,0.735,0.676,0.742,0.549,0.672,GRN,0.742,"{'GRN': 0.369, 'Lipid': 0.263, 'ADT': 0.207, 'Cell-comm': 0.162}"
NRAS,28,0.803,0.676,0.869,0.691,0.728,0.724,0.735,0.718,0.774,0.643,0.759,GRN,0.774,"{'GRN': 0.427, 'Cell-comm': 0.372, 'Composition': 0.144, 'Lipid': 0.057}"
PTPN11,9,0.798,0.76,0.872,0.645,0.614,0.624,0.714,0.746,0.659,0.646,0.684,Metabolite,0.746,"{'Metabolite': 0.535, 'Cell-comm': 0.267, 'Lipid': 0.199}"
IDH2,14,0.792,0.717,0.784,0.565,0.504,0.629,0.521,0.652,0.628,0.668,0.562,LSC,0.668,"{'Metabolite': 0.339, 'LSC': 0.318, 'ADT': 0.299, 'GRN': 0.044}"
DNMT3A,23,0.784,0.75,0.885,0.748,0.642,0.612,0.7,0.693,0.761,0.553,0.584,GRN,0.761,"{'GRN': 0.568, 'RNA': 0.432}"
KIT,12,0.768,0.5,0.792,0.691,0.738,0.718,0.708,0.619,0.638,0.628,0.699,Composition,0.738,"{'Composition': 0.378, 'ADT': 0.203, 'Cell-comm': 0.171, 'Lipid': 0.162, 'RNA': 0.085}"
trisomy8,18,0.71,0.867,0.788,0.637,0.54,0.591,0.661,0.599,0.587,0.594,0.563,Lipid,0.661,"{'Lipid': 0.442, 'ADT': 0.313, 'RNA': 0.197, 'LSC': 0.047}"
