mutation,sensitivity,specificity,f1,precision,cv_auroc,n_pos,n_neg,threshold,tp,tn,fp,fn
FLT3_TKD_D835/I836,0.286,0.937,0.267,0.25,0.716,42.0,573.0,0.922,12.0,537.0,36.0,30.0
FLT3_other_TKD_or_JM,0.185,0.983,0.238,0.333,0.731,27.0,588.0,0.976,5.0,578.0,10.0,22.0
NPM1_exon12_frameshift,0.957,0.958,0.912,0.87,0.981,140.0,475.0,0.751,134.0,455.0,20.0,6.0
DNMT3A_R882,0.724,0.9,0.595,0.505,0.88,76.0,539.0,0.824,55.0,485.0,54.0,21.0
DNMT3A_nonR882,0.875,0.341,0.232,0.134,0.605,64.0,551.0,0.32,56.0,188.0,363.0,8.0
IDH1_R132,0.816,0.892,0.533,0.396,0.911,49.0,566.0,0.837,40.0,505.0,61.0,9.0
IDH2_R140,0.613,0.917,0.521,0.452,0.838,62.0,553.0,0.865,38.0,507.0,46.0,24.0
IDH2_R172,0.5,0.995,0.556,0.625,0.961,10.0,605.0,0.987,5.0,602.0,3.0,5.0
NRAS_G12,0.412,0.878,0.235,0.165,0.678,34.0,581.0,0.862,14.0,510.0,71.0,20.0
NRAS_G13,0.136,0.978,0.158,0.188,0.744,22.0,593.0,0.974,3.0,580.0,13.0,19.0
NRAS_Q61,0.487,0.901,0.33,0.25,0.831,39.0,576.0,0.878,19.0,519.0,57.0,20.0
KRAS_G12,0.467,0.785,0.093,0.051,0.703,15.0,600.0,0.779,7.0,471.0,129.0,8.0
KRAS_G13,0.3,0.998,0.429,0.75,0.955,10.0,605.0,0.995,3.0,604.0,1.0,7.0
PTPN11_other,0.35,0.924,0.194,0.135,0.704,20.0,595.0,0.917,7.0,550.0,45.0,13.0
CEBPA_bZIP,0.643,0.962,0.391,0.281,0.936,14.0,601.0,0.948,9.0,578.0,23.0,5.0
CEBPA_Nterminal_frameshift/nonsense,0.562,0.991,0.655,0.783,0.968,32.0,583.0,0.963,18.0,578.0,5.0,14.0
CEBPA_biallelic_or_double,0.75,0.982,0.615,0.522,0.937,16.0,599.0,0.964,12.0,588.0,11.0,4.0
TP53_hotspot_DBD,0.535,0.962,0.523,0.511,0.876,43.0,572.0,0.927,23.0,550.0,22.0,20.0
TP53_LOF/splice/frameshift,0.5,0.998,0.647,0.917,0.872,22.0,593.0,0.982,11.0,592.0,1.0,11.0
RUNX1_LOF,0.853,0.943,0.753,0.674,0.946,75.0,540.0,0.846,64.0,509.0,31.0,11.0
SF3B1_K700,0.7,1.0,0.824,1.0,0.983,10.0,605.0,0.99,7.0,605.0,0.0,3.0
SF3B1_K666,0.944,0.99,0.829,0.739,0.997,18.0,597.0,0.964,17.0,591.0,6.0,1.0
U2AF1_S34,0.913,1.0,0.955,1.0,1.0,23.0,592.0,0.966,21.0,592.0,0.0,2.0
U2AF1_Q157/R156,0.6,0.993,0.6,0.6,0.859,10.0,605.0,0.985,6.0,601.0,4.0,4.0
KIT_D816,0.462,0.998,0.6,0.857,0.828,13.0,602.0,0.989,6.0,601.0,1.0,7.0
JAK2_V617F,0.222,1.0,0.364,1.0,0.811,18.0,597.0,0.995,4.0,597.0,0.0,14.0
WT1_LOF,0.532,0.975,0.581,0.641,0.857,47.0,568.0,0.938,25.0,554.0,14.0,22.0
FLT3_ITD,0.709,0.945,0.752,0.8,0.899,158.0,511.0,0.792,112.0,483.0,28.0,46.0
KMT2A_fusion,0.814,1.0,0.897,1.0,0.963,43.0,628.0,0.948,35.0,628.0,0.0,8.0
TET2,0.512,0.949,0.556,0.609,0.815,82.0,533.0,0.889,42.0,506.0,27.0,40.0
ASXL1,0.556,0.964,0.593,0.636,0.871,63.0,552.0,0.912,35.0,532.0,20.0,28.0
SRSF2,0.917,0.994,0.936,0.957,0.996,72.0,543.0,0.888,66.0,540.0,3.0,6.0
STAG2,0.674,0.991,0.753,0.853,0.892,43.0,572.0,0.946,29.0,567.0,5.0,14.0
BCOR,0.765,0.983,0.743,0.722,0.915,34.0,581.0,0.943,26.0,571.0,10.0,8.0
GATA2,0.414,0.985,0.48,0.571,0.83,29.0,586.0,0.966,12.0,577.0,9.0,17.0
PHF6,0.619,0.96,0.448,0.351,0.898,21.0,594.0,0.941,13.0,570.0,24.0,8.0
EZH2,0.158,0.997,0.25,0.6,0.779,19.0,596.0,0.992,3.0,594.0,2.0,16.0
NF1,0.438,0.947,0.255,0.179,0.673,16.0,599.0,0.938,7.0,567.0,32.0,9.0
RAD21,0.133,0.97,0.114,0.1,0.652,15.0,600.0,0.969,2.0,582.0,18.0,13.0
CBL,0.385,1.0,0.556,1.0,0.578,13.0,602.0,0.993,5.0,602.0,0.0,8.0
BCORL1,0.538,0.99,0.538,0.538,0.909,13.0,602.0,0.98,7.0,596.0,6.0,6.0
SMC3,0.1,0.995,0.143,0.25,0.688,10.0,605.0,0.995,1.0,602.0,3.0,9.0
SMC1A,0.2,0.992,0.235,0.286,0.682,10.0,605.0,0.99,2.0,600.0,5.0,8.0
ZRSR2,0.3,0.998,0.429,0.75,0.881,10.0,605.0,0.995,3.0,604.0,1.0,7.0
IKZF1,0.556,0.983,0.417,0.333,0.889,9.0,606.0,0.976,5.0,596.0,10.0,4.0
CSF3R,0.333,0.998,0.462,0.75,0.67,9.0,606.0,0.995,3.0,605.0,1.0,6.0
SUZ12,0.143,0.99,0.143,0.143,0.66,7.0,608.0,0.989,1.0,602.0,6.0,6.0
SETBP1,0.429,0.997,0.5,0.6,0.784,7.0,608.0,0.993,3.0,606.0,2.0,4.0
ETV6,0.0,0.979,0.0,0.0,0.778,6.0,609.0,0.979,0.0,596.0,13.0,6.0
CREBBP,0.4,0.998,0.533,0.8,0.665,10.0,605.0,0.992,4.0,604.0,1.0,6.0
