mutation,sensitivity,specificity,f1,precision,n_pos,n_neg,n_total,threshold,tp,tn,fp,fn
ASXL1,1.0,0.68,0.2,0.111,1.0,25.0,26.0,0.659,1.0,17.0,8.0,0.0
DNMT3A,0.75,0.556,0.545,0.429,8.0,18.0,26.0,0.701,6.0,10.0,8.0,2.0
FLT3,0.6,0.75,0.6,0.6,10.0,16.0,26.0,0.724,6.0,12.0,4.0,4.0
FLT3-ITD,0.714,0.842,0.667,0.625,7.0,19.0,26.0,0.734,5.0,16.0,3.0,2.0
FLT3-TKD,0.75,0.591,0.375,0.25,4.0,22.0,26.0,0.667,3.0,13.0,9.0,1.0
IDH1,0.667,0.826,0.444,0.333,3.0,23.0,26.0,0.709,2.0,19.0,4.0,1.0
IDH2,0.5,0.55,0.333,0.25,6.0,20.0,26.0,0.629,3.0,11.0,9.0,3.0
KIT,0.5,0.792,0.25,0.167,2.0,24.0,26.0,0.701,1.0,19.0,5.0,1.0
KRAS,1.0,0.48,0.133,0.071,1.0,25.0,26.0,0.633,1.0,12.0,13.0,0.0
NPM1,0.833,1.0,0.909,1.0,12.0,14.0,26.0,0.795,10.0,14.0,0.0,2.0
NRAS,0.4,0.667,0.286,0.222,5.0,21.0,26.0,0.708,2.0,14.0,7.0,3.0
PTPN11,1.0,0.56,0.154,0.083,1.0,25.0,26.0,0.516,1.0,14.0,11.0,0.0
RUNX1,1.0,0.571,0.526,0.357,5.0,21.0,26.0,0.689,5.0,12.0,9.0,0.0
TET2,0.667,0.706,0.6,0.545,9.0,17.0,26.0,0.734,6.0,12.0,5.0,3.0
TP53,0.75,0.773,0.5,0.375,4.0,22.0,26.0,0.796,3.0,17.0,5.0,1.0
WT1,0.0,0.68,0.0,0.0,1.0,25.0,26.0,0.727,0.0,17.0,8.0,1.0
complex,1.0,0.682,0.533,0.364,4.0,22.0,26.0,0.662,4.0,15.0,7.0,0.0
del7,1.0,0.84,0.333,0.2,1.0,25.0,26.0,0.781,1.0,21.0,4.0,0.0
inv(16)_CBFB-MYH11,0.5,1.0,0.667,1.0,4.0,22.0,26.0,0.955,2.0,22.0,0.0,2.0
inv16,0.5,1.0,0.667,1.0,4.0,22.0,26.0,0.955,2.0,22.0,0.0,2.0
trisomy8,1.0,0.571,0.526,0.357,5.0,21.0,26.0,0.751,5.0,12.0,9.0,0.0
